"address","location/lat","location/lng","name","numberOfGuests","pricing/rate/amount","pricing/rate/amount_formatted","pricing/rate/currency","pricing/rate/is_micros_accuracy","pricing/rate_type","pricing/rate_with_service_fee/amount","pricing/rate_with_service_fee/amount_formatted","pricing/rate_with_service_fee/currency","pricing/rate_with_service_fee/is_micros_accuracy","roomType","stars","url"
"Paris, Île-de-France, France","48.83948","2.30842","NEW - Appt Style le Corbusier avec Balcon - 8 pers","8","408","€408","EUR","false","nightly","408","€408","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/43979543"
"Paris, Île-de-France, France","48.87639","2.32665","Sweet Inn | Spacious 3BR Apt. in Saint Lazare","6","600","€600","EUR","false","nightly","600","€600","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/54010330"
"Paris, Île-de-France, France","48.85834","2.30763","Cosy and Charming Eiffel Tower Apartment","6","490","€490","EUR","false","nightly","490","€490","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/15895635"
"Paris, Île-de-France, France","48.86584","2.30289","Luxury house Triangle d’Or - Avenue Montaigne","4","500","€500","EUR","false","nightly","500","€500","EUR","false","Entire serviced apartment","5","https://www.airbnb.com/rooms/53820549"
"Paris, Île-de-France, France","48.859","2.349","HAUSSMANNIEN LUXE TOUR SAINT JACQUES BORD DE SEINE","5","500","€500","EUR","false","nightly","500","€500","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/45111867"
"Paris, Île-de-France, France","48.86403","2.34633","Grand appartement avec mezzanine dans le Sentier","6","480","€480","EUR","false","nightly","480","€480","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/54217705"
"Paris, Île-de-France, France","48.85435","2.38086","178-Suite Cesar","8","422","€422","EUR","false","nightly","422","€422","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/48796346"
"Paris, Île-de-France, France","48.877","2.336","Sweet Inn | Spacious 4BR with an artistic vibe","10","604","€604","EUR","false","nightly","604","€604","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/23536924"
"Paris, Île-de-France, France","48.87466","2.28365","★Magnifique appartement près des Champs Elysees★","4","400","€400","EUR","false","nightly","400","€400","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/52377285"
"Paris, Île-de-France, France","48.86572","2.34266","Like a house in the heart of Paris","7","424","€424","EUR","false","nightly","424","€424","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/18983408"
"Paris, Île-de-France, France","48.87888","2.29457","Amazing Luxury Triplex 3BR/8P - Arc de Triomphe","8","500","€500","EUR","false","nightly","500","€500","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/45148943"
"Paris, Île-de-France, France","48.86024","2.3755","CHEMIN VERT 3","10","500","€500","EUR","false","nightly","500","€500","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/4766761"
"Paris, Île-de-France, France","48.87084","2.33593","Appartement Chic à Opera (6/8 personnes)","8","423","€423","EUR","false","nightly","423","€423","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/30494526"
"Paris, Île-de-France, France","48.86956","2.35097","LivinParis | Luxury 3 BDR Grands-Boulevards III","8","399","€399","EUR","false","nightly","399","€399","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/13386198"
"Paris, Île-de-France, France","48.862","2.356","Sweet Inn | Spacious 2BR in Le Marais","9","533","€533","EUR","false","nightly","533","€533","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/14174503"
